All-Genes	Pathways of gene
DCI1	9-<i>cis</i>, 11-<i>trans</i>-octadecadienoyl-CoA degradation (isomerase-dependent) // 10-<i>cis</i>-heptadecenoyl-CoA degradation // 10-<i>trans</i>-heptadecenoyl-CoA degradation (reductase-dependent) // oleate &beta;-oxidation (isomerase-dependent) // fatty acid &beta;-oxidation III (unsaturated, odd number) // fatty acid oxidation (non-cyclic) // oleate &beta;-oxidation (thioesterase-dependent) // oleate &beta;-oxidation (reductase-dependent) // fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)
DCK1	
DCN1	
DCP1	
DCP2	
DCR2	
DCS1	
DCS2	
DCV1	
DCW1	
DDC1	
DDI1	
DDI2	
DDI3	
DDL1	
DDP1	
DDR2	
DDR48	
DED1	
DED81	tRNA charging
DEF1	
DEG1	
DEP1	
DER1	
DET1	phosphate acquisition
DFG10	dolichol and dolichyl phosphate biosynthesis
DFG16	
DFG5	
DFM1	
DFR1	superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // folate interconversions // dTMP <i>de novo</i> biosynthesis (mitochondrial) // tetrahydrofolate biosynthesis
DGA1	monoacylglycerol metabolism // triacylglycerol biosynthesis
DGK1	triacylglycerol biosynthesis
DGR1	
DGR2	
DHH1	
DHR2	
DIA1	
DIA2	protein ubiquitination
DIA3	phosphate acquisition // thiamin salvage IV // thiamine diphosphate biosynthesis IV (eukaryotes)
DIA4	tRNA charging
DIB1	
DIC1	
DID2	
DID4	
DIE2	protein <i>N</i>-glycosylation (eukaryotic) initial steps
DIF1	
DIG1	
DIG2	
DIM1	
DIN7	
DIP2	
DIP5	
DIS3	
DIT1	
DIT2	
DJP1	
DLD1	methylglyoxal catabolism
DLD2	
DLD3	methylglyoxal catabolism
DLS1	
DLT1	
DMA1	
DMA2	
DMC1	
DML1	
DNA2	
DNF1	
DNF2	
DNF3	
DNL4	
DNM1	
DOA1	
DOA4	
DOC1	protein ubiquitination
DOG1	
DOG2	
DOM34	
DON1	
DOP1	
DOS2	
DOT1	
DOT5	
DOT6	
DPA10	
DPB11	
DPB2	
DPB3	
DPB4	
DPC13	
DPC25	
DPC29	
DPC7	
DPH1	diphthamide biosynthesis
DPH2	diphthamide biosynthesis
DPH5	diphthamide biosynthesis
DPH6	diphthamide biosynthesis
DPI34	
DPI35	
DPI8	
DPL1	sphingolipid recycling and degradation (yeast)
DPM1	dolichyl phosphate D-mannose biosynthesis // protein <i>N</i>-glycosylation (eukaryotic) initial steps // protein <I>O</i>-mannosylation I (yeast)
DPP1	triacylglycerol biosynthesis
DPS1	
DRE2	
DRN1	
DRS1	
DRS2	
DSC2	
DSC3	
DSD1	D-serine degradation
DSE1	
DSE2	
DSE3	
DSE4	
DSF1	
DSF2	
DSK2	
DSL1	
DSN1	
DSS1	
DSS4	
DST1	
DTD1	
DTR1	
DUF1	
DUG1	superpathway of glutathione metabolism (truncated &gamma;-glutamyl cycle) // glutathione degradation // &gamma;-glutamyl cycle // glutathione degradation (DUG pathway)
DUG2	glutathione degradation (DUG pathway)
DUG3	glutathione degradation (DUG pathway)
DUN1	
DUO1	
DUR1,2	superpathway of allantoin degradation in yeast // urea degradation I
DUR3	
DUS1	
DUS3	
DUS4	
DUT1	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I
DXO1	
DYN1	
DYN2	
DYN3	
DYS1	hypusine biosynthesis
EAF1	
EAF3	
EAF5	
EAF6	
EAF7	
EAP1	
EAR1	
EAT1	
EBP2	
EBS1	
ECI1	oleate &beta;-oxidation (thioesterase-dependent) // oleate &beta;-oxidation (reductase-dependent) // 10-<i>cis</i>-heptadecenoyl-CoA degradation // 10-<i>trans</i>-heptadecenoyl-CoA degradation (reductase-dependent) // 9-<i>cis</i>, 11-<i>trans</i>-octadecadienoyl-CoA degradation (isomerase-dependent) // oleate &beta;-oxidation (isomerase-dependent) // fatty acid &beta;-oxidation III (unsaturated, odd number) // fatty acid oxidation (non-cyclic) // fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)
ECL1	
ECM1	
ECM10	
ECM11	
ECM12	
ECM13	
ECM14	
ECM15	
ECM16	
ECM18	
ECM19	
ECM2	
ECM21	
ECM22	
ECM23	
ECM25	
ECM27	
ECM29	
ECM3	
ECM30	
ECM31	phosphopantothenate biosynthesis I
ECM32	
ECM33	
ECM34	
ECM38	superpathway of glutathione metabolism (truncated &gamma;-glutamyl cycle) // glutathione degradation // &gamma;-glutamyl cycle // glutathione degradation (DUG pathway) // glutathione-mediated detoxification II // glutathione-mediated detoxification I
ECM4	
ECM5	
ECM7	
ECM8	
ECM9	
ECO1	
ECT1	phospholipid biosynthesis II (Kennedy pathway) // phosphatidylethanolamine biosynthesis II
EDC1	
EDC2	
EDC3	
EDE1	
EDS1	
EEB1	
EFB1	
EFG1	
EFM1	
EFM2	
EFM3	
EFM4	
EFM5	
EFM6	
EFR3	
EFT1	
EFT2	
EGD1	
EGD2	
EGH1	
EGO2	
EGO4	
EGT2	
EHD3	
EHT1	
EIS1	
EKI1	phosphatidylcholine biosynthesis I // phospholipid biosynthesis II (Kennedy pathway) // phosphatidylethanolamine biosynthesis II
ELA1	protein ubiquitination
ELC1	protein ubiquitination
ELF1	
ELG1	
ELM1	
ELO1	
ELO2	very long chain fatty acid biosynthesis
ELO3	very long chain fatty acid biosynthesis
ELP2	
ELP3	
ELP4	
ELP6	
EMA17	
EMA19	
EMA35	
EMC1	
EMC10	
EMC2	
EMC3	
EMC4	
EMC5	
EMC6	
EMG1	
EMI1	
EMI2	
EMP24	
EMP46	
EMP47	
EMP65	
EMP70	
EMT1	
EMT2	
EMT3	
EMT4	
EMT5	
EMW1	
ENA1	
ENA2	
ENA5	
ENB1	
END3	
ENO1	gluconeogenesis // glycolysis // glycolysis III (from glucose)
ENO2	gluconeogenesis // glycolysis // glycolysis III (from glucose)
ENP1	
ENP2	
ENT1	
ENT2	
ENT3	
ENT4	
ENT5	
ENV11	
ENV7	
ENV9	
EOS1	
EPL1	
EPO1	
EPS1	
EPT1	phospholipid biosynthesis II (Kennedy pathway) // phosphatidylethanolamine biosynthesis II // phosphatidylcholine biosynthesis I // choline biosynthesis III // phosphatidylcholine resynthesis via glycerophosphocholine
ERB1	
ERC1	
ERD1	
ERD2	
ERF2	
ERG1	superpathway of ergosterol biosynthesis I // epoxysqualene biosynthesis
ERG10	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) // superpathway of ergosterol biosynthesis I // mevalonate pathway I
ERG11	
ERG12	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) // superpathway of ergosterol biosynthesis I // mevalonate pathway I
ERG13	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) // superpathway of ergosterol biosynthesis I // mevalonate pathway I
ERG2	superpathway of ergosterol biosynthesis I // ergosterol biosynthesis I
ERG20	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) // superpathway of ergosterol biosynthesis I // geranyl diphosphate biosynthesis // <i>all-trans</i>-farnesol biosynthesis // <i>trans, trans</i>-farnesyl diphosphate biosynthesis
ERG24	superpathway of ergosterol biosynthesis I // zymosterol biosynthesis
ERG25	superpathway of ergosterol biosynthesis I // zymosterol biosynthesis
ERG26	superpathway of ergosterol biosynthesis I // zymosterol biosynthesis
ERG27	superpathway of ergosterol biosynthesis I // zymosterol biosynthesis
ERG28	
ERG29	
ERG3	superpathway of ergosterol biosynthesis I // ergosterol biosynthesis I
ERG4	superpathway of ergosterol biosynthesis I // ergosterol biosynthesis I
ERG5	superpathway of ergosterol biosynthesis I // ergosterol biosynthesis I
ERG6	superpathway of ergosterol biosynthesis I // ergosterol biosynthesis I
ERG7	superpathway of ergosterol biosynthesis I // lanosterol biosynthesis
ERG8	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) // superpathway of ergosterol biosynthesis I // mevalonate pathway I
ERG9	superpathway of ergosterol biosynthesis I // epoxysqualene biosynthesis
ERI1	
ERJ5	
ERO1	
ERP1	
ERP2	
ERP3	
ERP4	
ERP5	
ERP6	
ERR1	gluconeogenesis // glycolysis // glycolysis III (from glucose)
ERR2	gluconeogenesis // glycolysis // glycolysis III (from glucose)
ERR3	gluconeogenesis // glycolysis // glycolysis III (from glucose)
ERS1	
ERT1	
ERV1	
ERV14	
ERV15	
ERV2	
ERV25	
ERV29	
ERV41	
ERV46	
ESA1	
ESBP6	
ESC1	
ESC2	protein ubiquitination // protein NEDDylation
ESC8	
ESF1	
ESF2	
ESL1	
ESL2	
ESP1	
ESS1	
EST1	
EST2	
EST3	
ETP1	
ETR1	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)
ETS1-1	
ETS1-2	
ETS2-1	
ETS2-2	
ETT1	
EUG1	
EXG1	
EXG2	
EXO1	
EXO5	
EXO70	
EXO84	
EXP1	
FAA1	fatty acid activation // sphingolipid recycling and degradation (yeast) // fatty acid &beta;-oxidation (peroxisome) // fatty acid oxidation (non-cyclic)
FAA2	sphingolipid recycling and degradation (yeast) // fatty acid &beta;-oxidation (peroxisome) // fatty acid oxidation (non-cyclic)
FAA3	fatty acid activation // sphingolipid recycling and degradation (yeast) // fatty acid &beta;-oxidation (peroxisome) // fatty acid oxidation (non-cyclic)
FAA4	fatty acid activation // sphingolipid recycling and degradation (yeast) // fatty acid &beta;-oxidation (peroxisome) // fatty acid oxidation (non-cyclic)
FAB1	phosphatidylinositol phosphate biosynthesis // 3-phosphoinositide biosynthesis
FAD1	flavin biosynthesis III (fungi)
FAF1	
FAL1	
FAP1	
FAP7	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // pyrimidine deoxyribonucleotides biosynthesis from CTP // UTP and CTP dephosphorylation I
FAR1	
FAR10	
FAR11	
FAR3	
FAR7	
FAR8	
FAS1	fatty acid biosynthesis initiation (animals and fungi, cytoplasm) // palmitate biosynthesis (cytoplasm)
FAS2	fatty acid biosynthesis initiation (animals and fungi, cytoplasm)
FAT1	
FAT3	
FAU1	folate transformations I
FBA1	gluconeogenesis // glycolysis // glycolysis III (from glucose)
FBP1	gluconeogenesis
FBP26	fructose 2,6-bisphosphate biosynthesis
FCF1	
FCF2	
FCP1	
FCY1	pyrimidine ribonucleosides salvage III // pyrimidine nucleobases salvage II
FCY2	
FCY21	
FCY22	
FDC1	
FDH1	formaldehyde oxidation II (glutathione-dependent) // formate oxidation to CO<sub>2</sub> // oxalate degradation VI
FDO1	
FEN2	
FES1	
FET3	
FET4	
FET5	
FEX1	
FEX2	
FHL1	
FHN1	
FIG1	
FIG2	
FIG4	phosphatidylinositol phosphate biosynthesis // 3-phosphoinositide biosynthesis
FIN1	
FIP1	
FIR1	
FIS1	
FIT1	
FIT2	
FIT3	
FKH1	
FKH2	
FKS1	1,3-&beta;-D-glucan biosynthesis
FKS3	1,3-&beta;-D-glucan biosynthesis
FLC1	
FLC2	
FLC3	
FLO1	
FLO10	
FLO11	
FLO5	
FLO9	
FLR1	
FLX1	
FMC1	
FMN1	flavin biosynthesis III (fungi)
FMO1	
FMP10	
FMP16	
FMP23	
FMP25	
FMP27	
FMP30	
FMP32	
FMP33	
FMP40	
FMP41	
FMP42	
FMP45	
FMP46	
FMP48	
FMP49	
FMP52	
FMS1	&beta;-alanine biosynthesis
FMT1	
FOB1	
FOL1	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I // superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // tetrahydrofolate biosynthesis
FOL2	superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
FOL3	superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // tetrahydrofolate biosynthesis
FOX2	10-<i>cis</i>-heptadecenoyl-CoA degradation // 10-<i>trans</i>-heptadecenoyl-CoA degradation (reductase-dependent) // 10-<i>trans</i>-heptadecenoyl-CoA degradation (MFE-dependent) // 9-<i>cis</i>, 11-<i>trans</i>-octadecadienoyl-CoA degradation (isomerase-dependent) // fatty acid &beta;-oxidation (peroxisome) // fatty acid oxidation (non-cyclic)
FPK1	
FPR1	
FPR2	
FPR3	
FPR4	
FPS1	arsenic detoxification (yeast)
FPY1	
FRA1	
FRD1	
FRE1	
FRE2	
FRE3	
FRE4	
FRE5	
FRE6	
FRE7	
FRE8	
FRK1	
FRM2	
FRQ1	
FRS1	tRNA charging
FRS2	tRNA charging
FRT1	
FRT2	
FSF1	
FSH1	
FSH2	
FSH3	
FTH1	
FTR1	
FUB1	
FUI1	
FUM1	TCA cycle II (plants and fungi)
FUN12	
FUN14	
FUN19	
FUN26	
FUN30	
FUR1	superpathway of pyrimidine ribonucleosides salvage // superpathway of pyrimidine nucleobases salvage // pyrimidine nucleobases salvage II // pyrimidine nucleobases salvage I
FUR4	
FUS1	
FUS2	
FUS3	
FYV10	
FYV12	
FYV4	
FYV5	
FYV6	
FYV7	
FYV8	
FZF1	
FZO1	
GAA1	
GAB1	
GAC1	
GAD1	L-glutamate degradation to 4-aminobutanoate
GAL1	D-galactose degradation V (Leloir pathway)
GAL10	trehalose degradation VI (periplasmic) // D-galactose degradation V (Leloir pathway) // UDP-&alpha;-D-galactose biosynthesis
GAL11	
GAL2	
GAL3	
GAL4	
GAL7	D-galactose degradation V (Leloir pathway)
GAL80	
GAL83	
GAP1	
GAR1	
GAS1	
GAS2	
GAS3	
GAS4	
GAS5	
GAT1	
GAT2	
GAT3	
GAT4	
GBP2	
GCD1	
GCD10	tRNA methylation
GCD11	
GCD14	tRNA methylation
GCD2	
GCD6	dolichyl phosphate D-mannose biosynthesis
GCD7	
GCG1	5-oxo-L-proline metabolism
GCN1	
GCN2	
GCN20	
GCN3	
GCN4	
GCN5	
GCR1	
GCR2	
GCS1	
GCV1	folate interconversions // folate transformations I // glycine cleavage // glycine biosynthesis II
GCV2	folate interconversions // folate transformations I // glycine cleavage // glycine biosynthesis II
GCV3	folate interconversions // folate transformations I // glycine cleavage // glycine biosynthesis II
GCY1	
GDA1	
GDB1	glycogen degradation II
GDE1	phosphatidylcholine resynthesis via glycerophosphocholine // phospholipid remodeling (phosphatidylethanolamine) // glycerophosphodiester degradation
GDH1	L-glutamate biosynthesis III
GDH2	glutamate degradation to 2-oxoglutarate
GDH3	L-glutamate biosynthesis III
GDI1	
GDS1	
GDT1	
GEA1	
GEA2	
GEF1	
GEM1	
GEP3	
GEP4	cardiolipin biosynthesis // phosphatidylglycerol biosynthesis II (non-plastidic)
GEP5	
GEP7	
GET1	
GET2	
GET3	
GET4	
GEX1	
GEX2	
GFA1	chitin biosynthesis // UDP-N-acetylglucosamine biosynthesis // UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II
GFD1	
GFD2	
GGA1	
GGA2	
GGC1	
GIC1	
GIC2	
GID7	
GID8	
GIM3	
GIM4	
GIM5	
GIN4	
GIP1	
GIP2	
GIP3	
GIP4	
GIR2	
GIS1	
GIS2	
GIS3	
GIS4	
GIT1	
GLC3	glycogen biosynthesis
GLC7	
GLC8	
GLD1	
GLE1	
GLE2	
GLG1	glycogen biosynthesis
GLG2	glycogen biosynthesis
GLK1	chitin biosynthesis // sucrose degradation III // trehalose degradation II (cytosolic) // glucose-6-phosphate biosynthesis // glycogen degradation II // UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II // glycolysis III (from glucose)
GLN1	ammonia assimilation cycle I // L-glutamine biosynthesis I
GLN3	
GLN4	tRNA charging
GLO1	methylglyoxal catabolism
GLO2	methylglyoxal catabolism
GLO3	
GLO4	methylglyoxal catabolism
GLR1	glutathione redox reactions I // glutathione-glutaredoxin system
GLT1	glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // ammonia assimilation cycle I // L-glutamate biosynthesis IV
GLY1	glycine biosynthesis from threonine // L-threonine degradation IV
GMC1	
GMC2	
GMH1	
GNA1	chitin biosynthesis // UDP-N-acetylglucosamine biosynthesis // UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II
GND1	pentose phosphate pathway // pentose phosphate pathway (oxidative branch) I
GND2	
GNP1	
GNT1	
GON7	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis
GOR1	
GOS1	
GOT1	
GPA1	
GPA2	
GPB1	
GPB2	
GPC1	
GPD1	glycerol biosynthesis // phosphatidate biosynthesis II (the glycerol-3-phosphate pathway) // glycerol-3-phosphate shuttle // superpathway phosphatidate biosynthesis (yeast)
GPD2	glycerol biosynthesis // phosphatidate biosynthesis II (the glycerol-3-phosphate pathway) // glycerol-3-phosphate shuttle // superpathway phosphatidate biosynthesis (yeast)
GPG1	
GPH1	glycogen degradation II
GPI1	
GPI10	
GPI11	
GPI12	
GPI13	
GPI14	
GPI15	
GPI16	
GPI17	
GPI18	
GPI19	
GPI2	
GPI8	
GPM1	glycolysis III (from glucose)
GPM2	
GPM3	
GPN2	
GPN3	
GPP1	glycerol biosynthesis
GPP2	glycerol biosynthesis
GPR1	
GPT2	phosphatidate biosynthesis I (the dihydroxyacetone pathway) // superpathway phosphatidate biosynthesis (yeast) // phosphatidylglycerol biosynthesis II (non-plastidic) // phosphatidate biosynthesis II (the glycerol-3-phosphate pathway) // CDP-diacylglycerol biosynthesis I // triacylglycerol biosynthesis
GPX1	glutathione redox reactions I // reactive oxygen species degradation
GPX2	glutathione redox reactions I // reactive oxygen species degradation
GRC3	
GRE1	
GRE2	methylglyoxal degradation V // leucine degradation // leucine degradation III
GRE3	methylglyoxal degradation V // D-xylose degradation II
GRH1	
GRR1	protein ubiquitination
GRS1	tRNA charging
GRS2	tRNA charging
GRX1	arsenate detoxification // arsenic detoxification (yeast) // glutathione-glutaredoxin system // glutathione-glutaredoxin redox reactions
GRX2	arsenate detoxification // arsenic detoxification (yeast) // glutathione-glutaredoxin system // glutathione-glutaredoxin redox reactions
GRX3	arsenate detoxification // arsenic detoxification (yeast) // glutathione-glutaredoxin system // glutathione-glutaredoxin redox reactions
GRX4	glutathione-glutaredoxin system // glutathione-glutaredoxin redox reactions
GRX5	glutathione-glutaredoxin system // glutathione-glutaredoxin redox reactions
GRX6	glutathione redox reactions I // glutathione-glutaredoxin system
GRX7	glutathione redox reactions I // glutathione-glutaredoxin system
GRX8	glutathione redox reactions I // glutathione-glutaredoxin system
GSC2	1,3-&beta;-D-glucan biosynthesis
GSF2	
GSH1	superpathway of glutathione metabolism (truncated &gamma;-glutamyl cycle) // &gamma;-glutamyl cycle // glutathione biosynthesis
GSH2	superpathway of glutathione metabolism (truncated &gamma;-glutamyl cycle) // &gamma;-glutamyl cycle // glutathione biosynthesis
GSM1	
GSP1	
GSP2	
GSY1	glycogen biosynthesis
GSY2	glycogen biosynthesis
GTB1	protein <i>N</i>-glycosylation (yeast) processing in the ER
GTF1	glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation
GTO1	glutathione-mediated detoxification II // glutathione-mediated detoxification I
GTO3	
GTR1	
GTR2	
GTS1	
GTT1	glutathione redox reactions I // reactive oxygen species degradation // glutathione-mediated detoxification II // glutathione-mediated detoxification I
GTT2	glutathione-mediated detoxification II // glutathione-mediated detoxification I
GTT3	glutathione-mediated detoxification II // glutathione-mediated detoxification I
GUA1	glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I // superpathway of purine nucleotides <i>de novo</i> biosynthesis I // guanosine ribonucleotides <i>de novo</i> biosynthesis
GUD1	
GUF1	
GUK1	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I // superpathway of purine nucleotides <i>de novo</i> biosynthesis I // guanosine ribonucleotides <i>de novo</i> biosynthesis
GUP1	
GUP2	
GUS1	tRNA charging
GUT1	glycerol degradation I
GUT2	phosphatidylglycerol biosynthesis II (non-plastidic) // CDP-diacylglycerol biosynthesis I // glycerol biosynthesis // phosphatidate biosynthesis II (the glycerol-3-phosphate pathway) // superpathway phosphatidate biosynthesis (yeast) // glycerol degradation I // glycerol-3-phosphate shuttle // glycerophosphodiester degradation
GVP36	
GWT1	
GYL1	
GYP1	
GYP5	
GYP6	
GYP7	
GYP8	
GZF3	
HAA1	
HAC1	
HAL1	
HAL5	
HAL9	
HAM1	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I
HAP1	
HAP2	
HAP3	
HAP4	
HAP5	
HAS1	
HAT1	
HAT2	
HBN1	
HBS1	
HBT1	
HCA4	
HCH1	
HCM1	
HCR1	
HCS1	
HDA1	
HDA2	
HDA3	
HED1	
HEF3	
HEH2	
HEK2	
HEL1	
HEL2	
HEM1	superpathway of heme <i>b</i> biosynthesis from glycine // tetrapyrrole biosynthesis II (from glycine)
HEM12	superpathway of heme <i>b</i> biosynthesis from glycine // heme <i>b</i> biosynthesis I (aerobic)
HEM13	superpathway of heme <i>b</i> biosynthesis from glycine // heme <i>b</i> biosynthesis I (aerobic)
HEM14	superpathway of heme <i>b</i> biosynthesis from glycine // heme <i>b</i> biosynthesis I (aerobic)
HEM15	superpathway of heme <i>b</i> biosynthesis from glycine // heme <i>b</i> biosynthesis I (aerobic)
HEM2	superpathway of heme <i>b</i> biosynthesis from glycine // tetrapyrrole biosynthesis II (from glycine)
HEM25	
HEM3	superpathway of heme <i>b</i> biosynthesis from glycine // tetrapyrrole biosynthesis II (from glycine)
HEM4	superpathway of heme <i>b</i> biosynthesis from glycine // tetrapyrrole biosynthesis II (from glycine)
HER1	
HER2	glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation
HES1	
HFA1	fatty acid biosynthesis initiation (animals and fungi, cytoplasm) // fatty acid biosynthesis initiation (mitochondria) // biotin-carboxyl carrier protein assembly
HFD1	sphingolipid recycling and degradation (yeast) // 4-hydroxybenzoate biosynthesis I (eukaryotes)
HFI1	
HFL1	
HFM1	
HGH1	
HHF1	
HHF2	
HHO1	
HHT1	
HHT2	
HIF1	
HIM1	
HIP1	
HIR1	
HIR2	
HIR3	
HIS1	L-histidine biosynthesis
HIS2	L-histidine biosynthesis
HIS3	L-histidine biosynthesis
HIS4	L-histidine biosynthesis
HIS5	L-histidine biosynthesis
HIS6	L-histidine biosynthesis
HIS7	glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-histidine biosynthesis
HIT1	
HKR1	
HLJ1	
HLR1	
HMF1	
HMG1	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) // superpathway of ergosterol biosynthesis I // mevalonate pathway I
HMG2	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) // superpathway of ergosterol biosynthesis I // mevalonate pathway I
HMI1	
HMLALPHA1	
HMLALPHA2	
HMO1	
HMRA1	
HMRA2	
HMS1	
HMS2	
HMT1	
HMX1	
HNM1	
HNT1	
HNT2	
HNT3	
HO	
HOC1	protein <i>N</i>-glycosylation processing of mannoproteins (<i>cis-Golgi</i>, yeast)
HOF1	
HOG1	
HOL1	
HOM2	L-homoserine biosynthesis
HOM3	L-homoserine biosynthesis
HOM6	L-homoserine biosynthesis
HOP1	
HOP2	
HOR7	
HOS1	
HOS2	NAD salvage pathway V (PNC V cycle)
HOS3	
HOS4	NAD salvage pathway V (PNC V cycle)
HOT1	
HOT13	
HPA2	
HPA3	
HPC2	
HPF1	
HPM1	
HPR1	
HPT1	adenine and adenosine salvage IV // guanine and guanosine salvage
HRA1	
HRB1	
HRD1	
HRD3	
HRI1	
HRK1	
HRP1	
HRQ1	
HRR25	
HRT1	protein NEDDylation // protein ubiquitination
HRT3	protein ubiquitination
HSC82	
HSE1	
HSF1	
HSH155	
HSH49	
HSK3	
HSL1	
HSL7	
HSM3	
HSP10	
HSP104	
HSP12	
HSP150	
HSP26	
HSP30	
HSP31	
HSP32	
HSP33	
HSP42	
HSP60	
HSP78	
HSP82	
HST1	NAD salvage pathway V (PNC V cycle)
HST2	NAD salvage pathway V (PNC V cycle)
HST3	NAD salvage pathway V (PNC V cycle)
HST4	NAD salvage pathway V (PNC V cycle)
HSV2	
HSX1	
HTA1	
HTA2	
HTB1	
HTB2	
HTC1	
HTD2	palmitate biosynthesis (cytoplasm) // stearate biosynthesis // octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)
HTL1	
HTS1	tRNA charging
HTZ1	
HUA1	
HUA2	
HUB1	
HUG1	
HUL4	
HUL5	
HUR1	
HUT1	
HVG1	
HXK1	fructose degradation // sorbitol degradation // mannose degradation // chitin biosynthesis // sucrose degradation III // trehalose degradation II (cytosolic) // glucose-6-phosphate biosynthesis // glycogen degradation II // UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II // glycolysis III (from glucose)
HXK2	fructose degradation // sorbitol degradation // mannose degradation // chitin biosynthesis // sucrose degradation III // trehalose degradation II (cytosolic) // glucose-6-phosphate biosynthesis // glycogen degradation II // UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II // glycolysis III (from glucose)
HXT1	arsenic detoxification (yeast)
HXT10	
HXT11	
HXT13	
HXT14	
HXT15	
HXT16	
HXT17	
HXT2	
HXT3	
HXT4	
HXT5	
HXT6	
HXT7	
HXT8	
HXT9	
HYM1	
HYP2	
HYR1	
IAH1	
IAI11	
IBA57	
IBD2	
ICE2	
ICL1	glyoxylate cycle
ICL2	
ICP55	
ICR1	
ICS2	
ICS3	
ICT1	phosphatidylglycerol biosynthesis II (non-plastidic) // CDP-diacylglycerol biosynthesis I // triacylglycerol biosynthesis // superpathway phosphatidate biosynthesis (yeast) // phospholipid remodeling (phosphatidate) // phosphatidate biosynthesis II (the glycerol-3-phosphate pathway) // phosphatidate biosynthesis I (the dihydroxyacetone pathway)
ICY1	
IDH1	TCA cycle II (plants and fungi)
IDH2	TCA cycle II (plants and fungi)
IDI1	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) // superpathway of ergosterol biosynthesis I // mevalonate pathway I // <i>all-trans</i>-farnesol biosynthesis // <i>trans, trans</i>-farnesyl diphosphate biosynthesis
IDP1	
IDP2	superpathway of NAD/NADP - NADH/NADPH interconversion (yeast) // NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)
IDP3	
IDS2	
IES1	
IES2	
IES3	
IES4	
IES5	
IES6	
IFA38	very long chain fatty acid biosynthesis
IFH1	
IFM1	
IGD1	
IGO1	
IGO2	
IKI1	
IKI3	
IKS1	
ILM1	
ILS1	tRNA charging
ILT1	
ILV1	superpathway of branched chain amino acid biosynthesis // L-isoleucine biosynthesis I (from threonine)
ILV2	L-isoleucine biosynthesis I (from threonine) // superpathway of branched chain amino acid biosynthesis // L-valine biosynthesis // pyruvate fermentation to (<i>R</i>)-acetoin I
ILV3	L-valine biosynthesis // superpathway of branched chain amino acid biosynthesis // L-isoleucine biosynthesis I (from threonine)
ILV5	L-valine biosynthesis // superpathway of branched chain amino acid biosynthesis // L-isoleucine biosynthesis I (from threonine)
ILV6	L-isoleucine biosynthesis I (from threonine) // superpathway of branched chain amino acid biosynthesis // L-valine biosynthesis // pyruvate fermentation to (<i>R</i>)-acetoin I
IMA1	
IMA2	
IMA3	
IMA4	
IMA5	
IMD1	
IMD2	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I // superpathway of purine nucleotides <i>de novo</i> biosynthesis I // guanosine ribonucleotides <i>de novo</i> biosynthesis
IMD3	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I // superpathway of purine nucleotides <i>de novo</i> biosynthesis I // guanosine ribonucleotides <i>de novo</i> biosynthesis
IMD4	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I // superpathway of purine nucleotides <i>de novo</i> biosynthesis I // guanosine ribonucleotides <i>de novo</i> biosynthesis
